Year	Month	Day	Wind	Temperature	Rainfall	Other

2960	1	1	4	11 C		0		

2960	1	2	5	10 C		0		

2960	1	3	2	10 C		0		

2960	1	4	3	7 C		0		

2960	1	5	4	5 C		0		

2960	1	6	3	6 C		0		

2960	1	7	7	4 C		0		

2960	1	8	0	-1 C		8		Lätt Dimma 

2960	1	9	4	1 C		5		

2960	1	10	0	-2 C		2		Tjock Dimma Köldknäpp

2960	1	11	3	-1 C		0		

2960	1	12	2	1 C		8		

2960	1	13	5	-1 C		6		

2960	1	14	1	-1 C		5		Lätt Dimma 

2960	1	15	5	-1 C		9		

2960	1	16	2	1 C		2		

2960	1	17	6	1 C		3		

2960	1	18	5	-2 C		3		

2960	1	19	3	-2 C		1		

2960	1	20	4	-4 C		0		

2960	1	21	2	-6 C		1		

2960	1	22	1	-6 C		2		

2960	1	23	0	-5 C		0		Tjock Dimma 

2960	1	24	4	-7 C		1		

2960	1	25	5	-6 C		1		Åska 

2960	1	26	1	-6 C		5		

2960	1	27	5	-2 C		3		

2960	1	28	2	-3 C		0		Molnklart 

2960	2	1	5	-4 C		0		

2960	2	2	4	-3 C		1		

2960	2	3	1	0 C		5		

2960	2	4	2	2 C		2		

2960	2	5	3	0 C		6		

2960	2	6	6	4 C		6		

2960	2	7	2	4 C		4		

2960	2	8	5	3 C		3		

2960	2	9	9	3 C		3		Åska 

2960	2	10	5	5 C		0		Molnklart 

2960	2	11	2	4 C		0		

2960	2	12	4	6 C		0		

2960	2	13	3	9 C		0		

2960	2	14	5	11 C		0		

2960	2	15	5	13 C		0		

2960	2	16	2	11 C		0		

2960	2	17	4	9 C		0		

2960	2	18	3	5 C		5		

2960	2	19	4	4 C		2		

2960	2	20	3	6 C		0		

2960	2	21	3	6 C		0		

2960	2	22	3	5 C		0		

2960	2	23	3	7 C		0		

2960	2	24	4	10 C		0		

2960	2	25	2	4 C		0		Lätt Dimma 

2960	2	26	5	3 C		0		

2960	2	27	5	4 C		0		

2960	2	28	3	5 C		0		

2960	3	1	5	6 C		1		

2960	3	2	2	5 C		4		

2960	3	3	6	4 C		7		

2960	3	4	4	7 C		12		

2960	3	5	1	8 C		4		

2960	3	6	4	7 C		4		Hagel 

2960	3	7	1	5 C		3		

2960	3	8	0	3 C		3		Tjock Dimma 

